MIP Number,log tit,D - Call Direction,E - Call Method,F - Call Type,cat,na,Note,G - Created By,C - Created On
55669303,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Vanessa Wilson,2026-06-23 00:00:00
54674980,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Chris-Nicolla Madlela,2026-06-23 00:00:00
54674980,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Chris-Nicolla Madlela,2026-06-23 00:00:00
54714491,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Chris-Nicolla Madlela,2026-06-23 00:00:00
54714491,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Chris-Nicolla Madlela,2026-06-23 00:00:00
56611827,,Inbound,Emails,Duplicate Claim Received,Query,Done,None,Chris-Nicolla Madlela,2026-06-23 00:00:00
56611827,,Outbound,Phone,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-06-23 00:00:00
54652826,,Inbound,Phone,Overdue Payment - Ad-Hoc,Query,Done,None,Chris-Nicolla Madlela,2026-06-23 00:00:00
54652826,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-06-23 00:00:00
55358985,,Inbound,Phone,New Claim Pack Received (Incomplete),Query,Done,None,Vanessa Wilson,2026-06-23 00:00:00
55358985,,Outbound,Phone,Follow Up Incomplete Claim Pack,Query,Done,None,Vanessa Wilson,2026-06-23 00:00:00
55649912,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Athena Prince,2026-06-23 00:00:00
55649912,,Outbound,Phone,Feedback to Beneficiary,Query,Done,None,Athena Prince,2026-06-23 00:00:00
55358985,,Inbound,Emails,Proof of Payment Received,Query,Done,None,Chris-Nicolla Madlela,2026-06-23 00:00:00
55358985,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Chris-Nicolla Madlela,2026-06-23 00:00:00
55732783,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Chris-Nicolla Madlela,2026-06-23 00:00:00
55732783,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Chris-Nicolla Madlela,2026-06-23 00:00:00
55628600,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Chris-Nicolla Madlela,2026-06-24 00:00:00
55628600,,Outbound,Emails,Feedback to Sanlam,Query,Done,None,Chris-Nicolla Madlela,2026-06-24 00:00:00
55023910,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Athena Prince,2026-06-24 00:00:00
55023910,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Athena Prince,2026-06-24 00:00:00
54659388,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Vanessa Wilson,2026-06-24 00:00:00
54659388,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Vanessa Wilson,2026-06-24 00:00:00
57728007,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Chris-Nicolla Madlela,2026-06-24 00:00:00
57728007,,Outbound,Emails,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-06-24 00:00:00
58396088,,Inbound,Phone,Overdue Payment - Ad-Hoc,Query,Done,None,Chris-Nicolla Madlela,2026-06-24 00:00:00
58396088,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-06-24 00:00:00
55025733,,Inbound,Phone,Overdue Payment - Ad-Hoc,Query,Done,None,Chris-Nicolla Madlela,2026-06-24 00:00:00
55025733,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-06-24 00:00:00
57727992,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Chris-Nicolla Madlela,2026-06-24 00:00:00
57727992,,Outbound,Emails,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-06-24 00:00:00
54740565,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Athena Prince,2026-06-24 00:00:00
54740565,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-06-24 00:00:00
56643725,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Chris-Nicolla Madlela,2026-06-24 00:00:00
56643725,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Chris-Nicolla Madlela,2026-06-24 00:00:00
54759455,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Athena Prince,2026-06-24 00:00:00
54759455,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Athena Prince,2026-06-24 00:00:00
54653125,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Athena Prince,2026-06-24 00:00:00
54653125,,Outbound,Phone,Feedback to Beneficiary,Query,Done,None,Athena Prince,2026-06-24 00:00:00
56399624,,Inbound,Phone,Overdue Payment - Ad-Hoc,Query,Done,None,Vanessa Wilson,2026-06-24 00:00:00
56399624,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Vanessa Wilson,2026-06-24 00:00:00
55649912,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Athena Prince,2026-06-24 00:00:00
55649912,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Athena Prince,2026-06-24 00:00:00
54659630,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Athena Prince,2026-06-24 00:00:00
54659630,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Athena Prince,2026-06-24 00:00:00
54681427,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Athena Prince,2026-06-24 00:00:00
54681427,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Athena Prince,2026-06-24 00:00:00
54656244,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Chris-Nicolla Madlela,2026-06-24 00:00:00
54656244,,Outbound,Emails,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-06-24 00:00:00
58111200,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Athena Prince,2026-06-24 00:00:00
58111200,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-06-24 00:00:00
58111193,,Inbound,Emails,Overdue Payment - Termination Query,Query,Done,None,Athena Prince,2026-06-24 00:00:00
58111193,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-06-24 00:00:00
54762995,,Inbound,Emails,Claim Received from Tracing Agency,Query,Done,None,Athena Prince,2026-06-24 00:00:00
54762995,,Outbound,Emails,Tracing Claim Sent to Sanlam,Query,Done,None,Athena Prince,2026-06-24 00:00:00
57143827,,Inbound,Phone,Overdue Payment - Ad-Hoc,Query,Done,None,Chris-Nicolla Madlela,2026-06-24 00:00:00
57143827,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-06-24 00:00:00
54762995,,Inbound,Emails,Claim Received from Tracing Agency,Query,Done,None,Athena Prince,2026-06-24 00:00:00
54762995,,Outbound,Emails,Feedback to Other,Query,Done,None,Athena Prince,2026-06-24 00:00:00
56573896,,Inbound,Phone,Overdue Payment - Termination Query,Query,Done,None,Chris-Nicolla Madlela,2026-06-24 00:00:00
56573896,,Outbound,Phone,Feedback to Beneficiary,Query,Done,None,Chris-Nicolla Madlela,2026-06-24 00:00:00
57843002,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Chris-Nicolla Madlela,2026-06-24 00:00:00
57843002,,Outbound,Emails,Follow Up Incomplete Claim Pack,Query,Done,None,Chris-Nicolla Madlela,2026-06-24 00:00:00
56314808,,Inbound,Emails,How to claim - Termination,Query,Done,None,Chris-Nicolla Madlela,2026-06-24 00:00:00
56314808,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Chris-Nicolla Madlela,2026-06-24 00:00:00
55030106,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Vanessa Wilson,2026-06-24 00:00:00
55030106,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Vanessa Wilson,2026-06-24 00:00:00
54731574,,Inbound,Phone,Proof of Payment Received,Query,Done,None,Vanessa Wilson,2026-06-24 00:00:00
54731574,,Outbound,Emails,Proof of Payment Sent,Query,Done,None,Vanessa Wilson,2026-06-24 00:00:00
56407180,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Chris-Nicolla Madlela,2026-06-24 00:00:00
56407180,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Chris-Nicolla Madlela,2026-06-24 00:00:00
57908240,,Inbound,Phone,Overdue Payment - Monthly Income,Query,Done,None,Chris-Nicolla Madlela,2026-06-24 00:00:00
57908240,,Outbound,Phone,Feedback to Guardian,Query,Done,None,Chris-Nicolla Madlela,2026-06-24 00:00:00
56646406,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Athena Prince,2026-06-24 00:00:00
56646406,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-06-24 00:00:00
54740013,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Athena Prince,2026-06-25 00:00:00
54740013,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Athena Prince,2026-06-25 00:00:00
54681427,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Athena Prince,2026-06-25 00:00:00
54681427,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Athena Prince,2026-06-25 00:00:00
57843002,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Athena Prince,2026-06-25 00:00:00
57843002,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Athena Prince,2026-06-25 00:00:00
54704406,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Athena Prince,2026-06-25 00:00:00
54704406,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-06-25 00:00:00
54684198,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-06-25 00:00:00
54684198,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Athena Prince,2026-06-25 00:00:00
54649416,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-06-25 00:00:00
54649416,,Outbound,Emails,Feedback to Sanlam,Query,Done,None,Athena Prince,2026-06-25 00:00:00
54746998,,Inbound,Phone,Fund Value Confirmation,Query,Done,None,Vanessa Wilson,2026-06-25 00:00:00
54746998,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Vanessa Wilson,2026-06-25 00:00:00
57909667,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-06-25 00:00:00
57909667,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Athena Prince,2026-06-25 00:00:00
56583056,,Inbound,Emails,Overdue Payment - Termination Query,Query,Done,None,Athena Prince,2026-06-25 00:00:00
56583056,,Outbound,Emails,Feedback to Beneficiary,Query,Done,None,Athena Prince,2026-06-25 00:00:00
54663526,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Athena Prince,2026-06-25 00:00:00
54663526,,Outbound,Emails,Feedback to Sanlam,Query,Done,None,Athena Prince,2026-06-25 00:00:00
54746998,,Inbound,Phone,How to claim - Ad Hoc,Query,Done,None,Vanessa Wilson,2026-06-25 00:00:00
54746998,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Vanessa Wilson,2026-06-25 00:00:00
56369143,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Athena Prince,2026-06-25 00:00:00
56369143,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-06-25 00:00:00
54663964,,Inbound,Phone,Overdue Payment - Termination Query,Query,Done,None,Vanessa Wilson,2026-06-25 00:00:00
54663964,,Outbound,Phone,Feedback to Beneficiary,Query,Done,None,Vanessa Wilson,2026-06-25 00:00:00
54637014,,Inbound,Emails,Feedback from Sanlam,Query,Done,None,Vanessa Wilson,2026-06-25 00:00:00
54637014,,Outbound,Phone,Feedback to Beneficiary,Query,Done,None,Vanessa Wilson,2026-06-25 00:00:00
57204860,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Athena Prince,2026-06-25 00:00:00
57204860,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-06-25 00:00:00
54699904,,Inbound,Emails,New Claim Pack Received (Complete),Query,Done,None,Athena Prince,2026-06-25 00:00:00
54699904,,Outbound,Emails,Complete Claim Loaded,Query,Done,None,Athena Prince,2026-06-25 00:00:00
55536041,,Inbound,Emails,New Claim Pack Received (Incomplete),Query,Done,None,Vanessa Wilson,2026-06-25 00:00:00
55536041,,Outbound,Emails,Follow Up Incomplete Claim Pack,Query,Done,None,Vanessa Wilson,2026-06-25 00:00:00
57958697,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Athena Prince,2026-06-26 00:00:00
57958697,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-06-26 00:00:00
54740565,,Inbound,Emails,Overdue Payment - Ad-Hoc,Query,Done,None,Athena Prince,2026-06-26 00:00:00
54740565,,Outbound,Emails,Feedback to Guardian,Query,Done,None,Athena Prince,2026-06-26 00:00:00
54653125,,Inbound,Emails,Claim Received from Tracing Agency,Query,Done,None,Athena Prince,2026-06-26 00:00:00
54653125,,Outbound,Emails,Tracing Claim Sent to Sanlam,Query,Done,None,Athena Prince,2026-06-26 00:00:00
